user_id,name,email,password,phone
5208626211,Tracey Harris,Tracey_Harris685@example.com,_BZG+7tJk0o,458.410.34
6808545770,Melissa Douglas,Melissa_Douglas359@example.com,J)zeG_Nm*X254qEn,+1-416-425
3943524535,Sarah Nichols,Sarah_Nichols395@example.com,vuOwLcu^)0,983-348-93
4514797406,Robert Mayer,Robert_Mayer436@example.com,j)3HaWI!#3cNed,(954)260-5
1060371309,Stuart Rhodes,Stuart_Rhodes864@example.com,h%6tCeKp,(818)644-2
6739506142,Daniel Evans,Daniel_Evans336@example.com,8K3GOeh@7(w,001-356-79
1070639153,Jeremiah Nelson,Jeremiah_Nelson767@example.com,)M7wNB*i,240-460-39
4504714940,Tammie Myers,Tammie_Myers787@example.com,GypHHGsd(8U,527.834.33
8734236021,Erin Thompson,Erin_Thompson353@example.com,Nm+^x*snmp7N,700.668.94
2001763791,Aaron Mcfarland,Aaron_Mcfarland803@example.com,#o9Lz7!3e,772.965.50
